City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
263,mount gambier,-37.8333,140.7667,11.01,85,62,2.73,AU,1686441059
264,najran,17.4924,44.1277,26.36,17,64,1.47,SA,1686441378
265,inverell,-29.7833,151.1167,12.84,78,0,0.45,AU,1686441378
266,kiunga,-6.1219,141.2906,25.92,84,88,1.83,PG,1686441378
267,sena madureira,-9.0656,-68.6569,23.51,96,40,0.97,BR,1686441378
268,opuwo,-18.0607,13.84,14.62,47,7,1.4,NA,1686441378
269,kuala tungkal,-0.8167,103.4667,24.63,88,8,2.74,ID,1686441379
270,jodhpur,26.2867,73.03,30.84,55,0,6.42,IN,1686441379
271,chui,-33.6971,-53.4616,11.78,58,94,3.43,UY,1686441379
272,as salamiyah,35.0113,37.0532,20.49,61,2,3.64,SY,1686441379
273,urzhar,47.093,81.6294,20.7,70,48,3.71,KZ,1686441379
274,rzhaksa,52.1338,42.0264,11.59,72,100,7.54,RU,1686441379
275,kerikeri,-35.2268,173.9474,17.17,72,46,0.45,NZ,1686441058
276,alenquer,-1.9417,-54.7383,24.4,92,59,1.62,BR,1686441379
277,villamontes,-21.25,-63.5,22.37,71,17,3.01,BO,1686441092
278,karagay,58.2667,54.9368,1.8,84,7,2.61,RU,1686441380
279,kapuskasing,49.4169,-82.4331,9.05,71,100,5.14,CA,1686441120
280,olhao,37.0286,-7.8411,20.16,72,0,3.6,PT,1686441380
281,tympaki,35.0729,24.7685,20.12,67,71,1.43,GR,1686441380
282,turpan,42.9333,89.1667,35.98,11,0,1.25,CN,1686441380
283,port saint john's,-31.6229,29.5448,11.52,80,0,2.0,ZA,1686441046
284,artigas,-30.4,-56.4667,12.75,87,100,5.72,UY,1686441266
285,mana,5.6592,-53.7767,25.4,90,46,3.81,GF,1686441065
286,namibe,-15.1961,12.1522,18.74,77,62,4.27,AO,1686440783
287,lebork,54.5392,17.7501,15.75,93,7,4.05,PL,1686441381
288,bovalino,38.149,16.174,22.3,81,99,2.84,IT,1686441381
289,chonchi,-42.6128,-73.8092,4.56,90,71,1.19,CL,1686441093
290,sittwe,20.15,92.9,27.22,83,85,4.27,MM,1686441095
291,otjiwarongo,-20.4637,16.6477,12.26,32,0,2.59,NA,1686441381
292,cherdyn',60.403,56.4787,3.41,84,48,2.99,RU,1686441381
293,cartagena del chaira,1.3349,-74.8429,24.03,94,75,1.07,CO,1686441381
294,mukalla,14.5425,49.1242,31.21,69,99,0.42,YE,1686441133
295,baoro,5.6667,15.9667,19.69,95,67,0.14,CF,1686441382
296,minas de marcona,-15.2119,-75.1103,13.02,85,27,6.19,PE,1686441110
297,wellington,-41.2866,174.7756,12.17,85,77,5.66,NZ,1686441382
298,hobyo,5.3505,48.5268,26.14,83,99,9.99,SO,1686441111
299,harper,4.375,-7.7169,25.35,86,100,5.9,LR,1686441382
300,wotho,10.1657,166.0102,27.84,81,100,7.62,MH,1686441382
301,ewo,-0.8725,14.8206,23.54,85,94,0.24,CG,1686441382
302,bamboo flat,11.7,92.7167,28.05,83,75,5.14,IN,1686441382
303,ceeldheer,3.8488,47.1806,25.36,86,96,7.73,SO,1686441295
304,punahana,27.8667,77.2,32.72,32,0,2.5,IN,1686441383
305,midvagur,62.0511,-7.1939,10.46,100,100,0.0,FO,1686441070
306,santa ana de yacuma,-13.75,-65.4333,28.97,70,75,2.06,BO,1686441383
307,tres passos,-27.4556,-53.9319,19.73,82,71,3.25,BR,1686441383
308,constantia,44.1833,28.65,16.5,83,95,2.77,RO,1686441035
309,daru,-9.0763,143.2092,26.5,83,85,6.32,PG,1686441091
310,lincoln,40.8,-96.667,25.04,82,100,1.79,US,1686440968
311,hancheng,32.5186,112.3522,27.7,34,100,1.29,CN,1686441383
312,galveston,29.3669,-94.9669,34.06,75,0,7.72,US,1686441384
313,malango,-2.9627,119.9001,21.76,93,92,0.68,ID,1686441384
314,hashtrud,37.4779,47.0508,15.03,65,65,1.94,IR,1686441384
315,yoko,5.5333,12.3167,18.39,98,88,1.23,CM,1686441384
316,vila velha,-20.3297,-40.2925,23.97,90,0,3.6,BR,1686440999
317,nagasaki,32.7447,129.8736,21.9,94,75,3.6,JP,1686441269
318,berdigestyakh,62.0989,126.6992,22.19,52,68,4.14,RU,1686441103
319,vrangel',42.7297,133.0839,15.16,80,99,6.49,RU,1686441384
320,semera,11.501,41.201,32.51,32,100,1.5,ET,1686441385
321,qarauyl,48.9451,79.255,10.52,83,1,3.97,KZ,1686441093
322,bomi,7.2461,-11.5258,23.96,97,93,0.94,SL,1686441385
323,magadan,59.5667,150.8,18.63,78,51,3.3,RU,1686441093
324,aban,56.67,96.06,13.25,68,97,4.07,RU,1686441385
325,punta arenas,-53.15,-70.9167,5.06,87,75,13.38,CL,1686441040
326,bayganin,48.6947,55.8742,21.35,29,97,5.34,KZ,1686441385
